brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group,brand_raw,model_raw
mercedes-benz,c-class,Mercedes C-Class,12000.0,2007,5,150.0,0,diesel,2.1,0,0,0,0,0,0,mercedes,Luxury,Mercedes,C-Class
mazda,3,Mazda 3,1000.0,2008,3,105.0,0,petrol,1.6,0,0,0,0,0,0,mazda,Other,Mazda,3
chevrolet,cruze,The new Chevrolet Cruze,2500.0,2017,2,153.0,0,electric,1.4,0,0,0,0,0,0,chevrolet,Budget,Chevrolet,Cruze
kia,seltos,Kia Seltos,91000.0,2020,1,149.0,0,petrol,2.0,0,0,0,0,0,0,kia,Budget,Kia,Seltos
mazda,2,Mazda 2,21900.0,2010,2,103.0,0,petrol,1.5,0,0,0,0,0,0,mazda,Other,Mazda,2
suzuki,splash,Suzuki Splash,18000.0,2014,4,95.0,0,petrol,1.2,0,0,0,0,0,0,suzuki,Budget,Suzuki,Splash
suzuki,alto,Suzuki Alto,17000.0,2013,1,67.0,0,petrol,1.0,0,0,0,0,0,0,suzuki,Budget,Suzuki,Alto
mitsubishi,lancer,Mitsubishi Lancer the new generation,12000.0,2009,2,109.0,0,petrol,1.5,0,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Lancer
mercedes-benz,glb,Mercedes GLB,195000.0,2021,4,163.0,0,petrol,1.3,0,0,0,0,0,0,mercedes,Luxury,Mercedes,GLB
fiat,doblo,Fiat Doblo,17000.0,2014,3,90.0,0,diesel,1.2,0,0,0,0,0,0,fiat,Budget,Fiat,Doblo
chevrolet,traverse,Chevrolet Traverse,59800.0,2015,3,281.0,0,electric,3.6,0,0,0,0,0,0,chevrolet,Budget,Chevrolet,Traverse
mitsubishi,outlander,Mitsubishi Outlander,67000.0,2015,2,150.0,0,petrol,2.0,0,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Outlander
mitsubishi,lancer classic,Mitsubishi Lancer Classic,10600.0,2008,3,98.0,0,petrol,1.6,0,0,0,0,0,0,mitsubishi,Other,Mitsubishi,Lancer Classic
fiat,500l,Fiat 500L,19900.0,2015,2,95.0,0,petrol,1.4,1,1,0,0,0,0,fiat,Budget,Fiat,500L
hyundai,i30,Hyundai i30,40900.0,2016,2,135.0,0,petrol,1.6,0,1,1,0,0,0,hyundai,Budget,Hyundai,i30
chevrolet,traverse,Chevrolet Traverse,4000.0,2013,4,281.0,0,electric,3.6,1,0,0,0,0,0,chevrolet,Budget,Chevrolet,Traverse
mercedes-benz,a-class,Mercedes A-Class,62000.0,2014,3,156.0,0,petrol,1.6,1,1,0,0,0,0,mercedes,Luxury,Mercedes,A-Class
hyundai,i30,Hyundai i30,20000.0,2009,2,126.0,0,petrol,1.6,1,0,0,0,0,0,hyundai,Budget,Hyundai,i30
mazda,cx-5,Mazda CX-5,57900.0,2016,3,165.0,0,petrol,2.0,0,1,0,1,0,0,mazda,Other,Mazda,CX-5
kia,sportage,Kia Sportage,98000.0,2019,3,155.0,0,petrol,2.0,0,1,1,0,0,0,kia,Budget,Kia,Sportage
audi,q5,Audi Q5,52900.0,2013,4,177.0,1,diesel,2.0,0,1,0,1,0,0,audi,Luxury,Audi,Q5
renault,clio,Renault Clio 4th generation (2013-2019),27000.0,2016,2,118.0,0,petrol,1.2,1,1,0,0,0,0,renault,Budget,Renault,Clio
nissan,juke,Nissan Juke / Juke,26900.0,2012,2,117.0,0,petrol,1.6,1,1,0,0,0,0,nissan,Budget,Nissan,Juke
mercedes-benz,cla,Mercedes CLA,225000.0,2021,2,160.0,0,hybrid,1.3,0,1,0,0,1,1,mercedes,Luxury,Mercedes,CLA
audi,a7,Audi A7,89000.0,2016,1,252.0,0,petrol,2.0,0,1,0,1,0,0,audi,Luxury,Audi,A7
skoda,octavia,Skoda Octavia,47900.0,2016,2,110.0,0,petrol,1.2,1,0,0,0,0,0,skoda,Budget,Skoda,Octavia
skoda,superb,Skoda Superb (until 2019),75000.0,2017,2,180.0,0,petrol,1.8,0,0,0,0,0,0,skoda,Budget,Skoda,Superb
citroën,berlingo,Citroen Berlingo 3rd generation (2018 onwards),109000.0,2022,1,130.0,0,diesel,1.5,0,0,0,0,0,0,citroen,Other,Citroen,Berlingo
suzuki,sx4,Suzuki SX4 crossover,33400.0,2015,1,118.0,0,petrol,1.6,0,0,0,0,0,0,suzuki,Budget,Suzuki,SX4 crossover
kia,sportage,Kia Sportage,67000.0,2015,3,166.0,0,petrol,2.0,0,0,0,0,0,0,kia,Budget,Kia,Sportage
